sentence,vars,names,variable_position
In a type I jump,['I'],type,['end']
Simulations were carried out with diﬀerent heights of the outer circular wall d. The volume ﬂux of the inﬂow is Q ,['Q'],the inﬂow,['end']
The three lower proﬁles are type I jumps,['I'],The three lower proﬁles,['end']
We observe that the jump becomes steeper as the wall height increases for a type I jump,['I'],a type,['end']
The ﬂow experienced a transi- tion from a type II jump to a type I jump.,['I'],a type,['end']
the ﬂuid eventually approached the steady state of a type I jump.,['I'],a type,['end']
we can locate those two photons at the surface of a multidimensional sphere of radius R ,['R'],radius,['end']
Due to hyper-spherical symmetry its magnitude only depends on the radius R ,['R'],the radius,['end']
the information charge density ρ,['ρ'],the information charge density,['end']
Exactly in the same way it did for hyperspheres of radius R ,['R'],radius,['end']
It will ” see ” the other photon at a distance l ,['l'],a distance,['end']
The photon of a given energy E ,['E'],a given energy,['end']
which has got a particular solution in the case γ ,['γ'],the case,['end']
then we solve this equation by solving the equation A2 in ,['A2'],the equation,['end']
such constant kγ will also have diﬀerent di- mensions depending on the value γ,['γ'],the value,['end']
"(t, c, Aω, kγ, a)  where its respective dimensional equations in regard to a base B ",['B'],a base,['end']
In this case we observe a Universe with radiation predominance ω ,['ω'],radiation predominance,['end']
3see at the end of the text the table of numerical values  A model with matter predominance ω ,['ω'],matter predominance,['end']
as we are working with a model described by matter instead of considering energy density we ﬁnd more convenient to consider matter density which becomes a little dimensional readjustment in Aω which becomes [Aω] ,['[Aω]'],which,['end']
as in the previous case we apply Barenblatt criterion which brings us to:  π1 ,['π1'],to:,['end']
We can also observe that this integral needs not be solved since a more careful analysis about the number of π−monomials that we can obtain from the equation leads us to obtain a solution of the type:  which brings us to:  G ,['G'],to:,['end']
which has got a particular solution in the case γ ,['γ'],the case,['end']
then we solve this equation by solving the equation A2 in ,['A2'],the equation,['end']
such constant kγ will also have diﬀerent di- mensions depending on the value γ,['γ'],the value,['end']
"(t, c, Aω, kγ, a)  where its respective dimensional equations in regard to a base B ",['B'],a base,['end']
In this case we observe a Universe with radiation predominance ω ,['ω'],radiation predominance,['end']
3see the table of numerical values at the end of the text  A model with matter predominance ω ,['ω'],matter predominance,['end']
as we are working with a model described by matter instead of considering energy density we ﬁnd more convenient to consider matter density which becomes a little dimensional readjustment in Aω which becomes [Aω] ,['[Aω]'],which,['end']
as in the previous case we apply Barenblatt criterion which brings us to:  π1 ,['π1'],to:,['end']
We can also observe that this integral needs not be solved since a more careful analysis about the number of π−monomials that we can obtain from the equation leads us to obtain a solution of the type:  which brings us to:  G ,['G'],to:,['end']
the electro-optic index of refraction modulation is pro- portional to the static crystal polarization P,['P'],the static crystal polarization,['end']
The major physical values describing a motion of a mass point are:  - the radius vector of a particle ~r(t),['r(t)'],a particle,['end']
So the vector equation  can always be replaced by one equation in the coordinate form  x(t) ,['x(t)'],the coordinate form,['end']
will have a form  x(t) ,['x(t)'],['form'],['end']
expression  or ) is not periodic function of time ~r(t) 6,['r(t)'],time,['end']
but almost-periodic function;  - to ﬁnd out how the mass point trajectory varies by change of the following  parameters:  - particle mass m,['m'],the following parameters: - particle mass,['end']
In order to return to the main menu (if you have the dialog box ”Change of parameters”) is necessary to press the key Esc (or make active the dialog box button Exit by the device M ouse).,['M'],the device,['end']
A straight line of the form γ ,['γ'],the form,['end']
This is characterized in the spectral domain by the passage of a femtosecond soliton through a potential barrier-like spectral inhomogeneity of the group velocity dispersion (GVD),['(GVD)'],the group velocity dispersion,['end']
Suppose that dispersion management function is known arbitrary analytical function :D2(Z),['D2(Z)'],arbitrary analytical function,['end']
Here the dispersion management function is D2(Z) ,['D2(Z)'],the dispersion management function,['end']
the kinetic energy of a physical existent can be expressed by the equation K ,['K'],the equation,['end']
Another form for the kinetic energy is  K ,['K'],the kinetic energy,['end']
Einstein  predicted that  a  light  ray  would  be  deflected  toward  the  sun  in  accordance  with  the following equation  m  ,['m'],the following equation,['end']
If he looks at the arrow in the world that is pointing  up  for  observer  A,['A'],observer,['end']
≥  A physical quantity of interest is the magnetisation  in the ground state  M ,['M'],the ground state,['end']
In fact we shall see that in the classical limit ǫ ,['ǫ'],the classical limit,['end']
−  (cid:0)  When the potential has spherical symmetry v ,['v'],spherical symmetry,['end']
the ground state has the quantum number m,['m'],the quantum number,['end']
In the state whose quantum number is m,['m'],whose quantum number,['end']
In ﬁgurewe give pictures of them at the critical value between the state m ,['m'],the state,['end']
so that in this range m ,['m'],['range'],['end']
1 if favoured over the state m ,['m'],the state,['end']
But in order to prove that the ground state is m ,['m'],the ground state,['end']
We can ﬁnd a useful comparison potential  W ,['W'],comparison potential,['end']
Say we are interested in sampling the conﬁgurations sL on the top level ℓ ,['ℓ'],the top level,['end']
The MC sampling starts on the ﬁnest level ℓ ,['ℓ'],the ﬁnest level,['end']
in addition to the ones already contained in the eﬀective action S.  We now proceed to the next level ℓ ,['ℓ'],the next level,['end']
we assume an ohmic spectral density of the form J(ω) ,['J(ω)'],the form,['end']
The total magnetic ﬁeld inside a coaxial wiggler will be taken to be of the form  B ,['B'],the form,['end']
corresponding to a Lorentz  factor γ ,['γ'],factor,['end']
Solid curves correspond to the initial orbit radius r0 ,['r0'],the initial orbit radius,['end']
Russia  Abstract  The characteristics of backward diffraction radiation (BDR),['(BDR)'],backward diffraction radiation,['end']
As  in  the  case  of  transition  radiation  (TR),['(TR)'],transition radiation,['end']
If we consider a typical elementary particle to be a pion with Compton wavelength l,['l'],Compton,['end']
it must be remembered that in the physical be seen to be time period τ ,['τ'],time period,['end']
misprint in the NiXXVI entry of Table 3 is a6 ,['a6'],Table,['end']
We find that special relativistic effects occur only in frames  which were accelerated to reach the uniform velocity v,['v'],the uniform velocity,['end']
When observing from reference frame B,['B'],reference frame,['end']
until it reached the uniform velocity V,['V'],the uniform velocity,['end']
compared to inertial frame s,['s'],frame,['end']
Because  of  the  small  natural  width  of  high  frequency  g  radiation,['g'],high frequency,['end']
In  this  case  the  absorber  accelerated  before reaching velocity V,['V'],velocity,['end']
The corresponding Hamiltonian reads   H ,['H'],['The corresponding Hamiltonian reads'],['end']
is the starting point of a classical trajectory with action Sqp(t).,['Sqp(t)'],action,['end']
The laser has a frequency ω0 ,['ω0'],a frequency,['end']
It is of Gaussian form  V (x) ,['V (x)'],['form'],['end']
we can approximately compose the true phase Φ ,['Φ'],the true phase,['end']
The laser ﬁeld has a strength E0 ,['E0'],a strength,['end']
"A particle in a laser ﬁeld VL(x, t) ","['VL(x, t)']",a laser ﬁeld,['end']
both accounting for  the  deficiencies  in  long  range  order:  the  paracrystalline  theory  (PT),['(PT)'],the paracrystalline theory,['end']
An  additional  fingerprint  for  enhanced  fluctuations  at  higher temperatures is the Caillé parameter h1,['h1'],the Caillé parameter,['end']
APPENDIX  Structural parameters for bilayers in the lamellar liquid crystalline phase can be derived upon  the assumption that the volume of the phospholipid  headgroup is  equal  to the  volume  in  the  gel phase   V ,['V'],the gel phase,['end']
with the oscillating mass m,['m'],the oscillating mass,['end']
A further interesting aspect of T-jump experiments in the La -phase is the relaxation behavior  of  the  lattice  parameter  as  a  function  of  starting  temperature  (T0),['(T0)'],temperature,['end']
the square of oscillation frequency  w0  2 ,['w0'],oscillation frequency,['end']
by the sinusoidal current-phase relation I ,['I'],the sinusoidal current-phase relation,['end']
−  no voltage drop develops until the critical value i ,['i'],the critical value,['end']
Such equations together with the sinusoidal current-phase relation I ,['I'],the sinusoidal current-phase relation,['end']
"The barrier is provided by a Gaussian shaped laser sheet, focused near lz)2/λ2 the center of the trap Vlaser (z) ",['ser (z)'],the trap,['end']
having the longitudinal frequency ω0 ,['ω0'],the longitudinal frequency,['end']
the motion of the laser sheet with respect to the magnetic trap with velocity v or,['v'],velocity,['end']
